state_name,county_name,Debt_All,Debt_Communities_Color,Debt_Majorities_White,Avg_Household_Income_All,Avg_Non_White_Income,Avg_Non_Hispanic
Iowa,CERRO,.2388724,49,.2387725,72174,51527,73533
Iowa,CLAYTON,.3426087,49,.3426087,65784,56534,66016
Iowa,DES,.2681518,49,.2681518,69054,38879,72029
Iowa,DUBUQUE,.3513514,49,.3504184,80313,66820,81234
Iowa,GUTHRIE,.3253731,49,.3253731,73346,64328,73633
Iowa,IDA,.3482143,49,.3482143,78094,53206,78652
Iowa,KEOKUK,.3162939,49,.316129,70155,43606,71041
Iowa,KOSSUTH,.1924779,49,.1924779,69498,44003,70412
Iowa,MAHASKA,.3093415,49,.3093415,68931,46998,69834
Iowa,MONONA,.3131673,49,.3131673,64281,29157,66228
Iowa,MUSCATINE,.3512461,49,.355275,74538,61974,76906
Iowa,O'BRIEN,.259901,49,.259901,67826,56327,68363
Iowa,POTTAWATTAMIE,.3582349,49,.359037,72350,52035,74427
Iowa,POWESHIEK,.3644524,49,.363964,74234,59144,74767
Iowa,RINGGOLD,.3,49,.3,69971,37082,70915
Iowa,SAC,.28,49,.28,73425,38352,74645
Iowa,STORY,.2888446,49,.29,79726,42179,87054
Iowa,TAMA,.3636364,49,.3676093,70779,53947,73000
Iowa,WAPELLO,.2798077,49,.2798077,62750,53120,63916
Iowa,WINNESHIEK,.2555147,49,.2555147,77597,36449,78338
Iowa,WOODBURY,.3145449,49,.3383298,71578,52328,78295
Kansas,BARBER,.2954545,49,.2971429,65824,45226,67630
Kansas,CLOUD,.251938,49,.251938,62840,52931,63153
Kansas,COFFEY,.2537313,49,.2537313,76736,67057,77388
Kansas,COWLEY,.2723915,49,.2731481,62458,54793,63646
Kansas,DONIPHAN,.3492823,49,.3492823,63346,38311,64462
Kansas,ELLSWORTH,.3238636,49,.3238636,64204,68038,63935
Kansas,FINNEY,.2979626,.2922014,.3333333,70722,62116,78765
Kansas,FORD,.2520661,.2395709,.3333333,66956,55718,77827
Kansas,GEARY,.4224138,49,.5357143,61506,56350,65044
Kansas,GOVE,.2446809,49,.2446809,63257,49852,64276
Kansas,HARVEY,.3023023,49,.3023023,70297,50697,73149
Kansas,HODGEMAN,49,49,49,72283,48038,74756
Kansas,JEWELL,.3076923,49,.3076923,58991,28276,60146
Kansas,KEARNY,.2803738,49,.2808989,71099,51858,77225
Kansas,KINGMAN,.3196347,49,.3196347,80453,93999,79656
Kansas,LABETTE,.2740864,49,.2740864,58891,49434,60318
Kansas,LEAVENWORTH,.3388938,49,.3388938,89525,62299,94188
Kansas,NEOSHO,.3034934,49,.3034934,57067,42930,58200
Kansas,NESS,.19,49,.19,75575,62889,76672
Kansas,OSBORNE,.2421875,49,.2421875,67431,114216,65138
Kansas,PRATT,.2978056,49,.2978056,69382,73811,69130
Kansas,RAWLINS,.1733333,49,.1733333,63730,64318,63688
Kansas,RENO,.2820242,49,.2846482,65695,59140,66518
Kansas,REPUBLIC,.2529412,49,.2544379,58436,60317,58390
Kansas,RILEY,.265521,49,.2520185,66449,47011,70721
Kansas,ROOKS,.299363,49,.299363,60896,36327,61616
Kansas,RUSH,.2580645,49,.2580645,56665,66079,56066
Kansas,SEDGWICK,.3015603,.1312217,.3241422,78411,61206,84369
Kansas,SHAWNEE,.3004467,.2008197,.3089955,78471,59611,83629
Kansas,TREGO,.2765957,49,.2765957,69210,139224,65466
Kansas,WABAUNSEE,.3142857,49,.3142857,69670,56201,70201
Kansas,WALLACE,49,49,49,68214,53078,69257
Kansas,WOODSON,.2254902,49,.2254902,51321,27513,52840
Kansas,WYANDOTTE,.250315,.2289463,.3213429,58167,49185,69067
Kentucky,BALLARD,.219697,49,.2183908,62411,42934,63260
Kentucky,BARREN,.294697,49,.2966102,53857,44615,54540
Kentucky,BOURBON,.3138686,49,.316265,68312,41778,72051
Kentucky,BOYLE,.2872117,49,.2900108,67505,48595,69780
Kentucky,BRACKEN,.3378378,49,.3378378,59654,69630,59257
Kentucky,BREATHITT,.2201087,49,.2213115,46260,52530,46123
Kentucky,BRECKINRIDGE,.2625698,49,.2635514,59753,38843,60642
Kentucky,BULLITT,.3180091,49,.3183549,80659,56967,81952
Kentucky,CALLOWAY,.2222222,49,.2222222,57431,33556,59973
Kentucky,CARLISLE,.2323944,49,.2323944,74424,37051,75492
Kentucky,CASEY,.2484725,49,.2484725,46614,43022,46710
Kentucky,CRITTENDEN,.2230769,49,.2200772,58303,63403,58142
Kentucky,EDMONSON,.2138889,49,.2138889,52578,48252,52727
Kentucky,ELLIOTT,.1785714,49,.1785714,43276,11600,43490
Kentucky,ESTILL,.2647059,49,.2647059,43297,16380,43664
Kentucky,FLEMING,.3097345,49,.3097345,58083,50330,58435
Kentucky,GARRARD,.3107345,49,.3113208,66967,40407,68368
Kentucky,GRAVES,.2524272,49,.2524272,61303,35619,63750
Kentucky,GREENUP,.3092876,49,.3095668,69483,78153,69140
Kentucky,HART,.2530121,49,.2530121,51902,66910,50670
Kentucky,JESSAMINE,.2884732,49,.290421,84773,50798,87704
Kentucky,KENTON,.3228422,49,.3232792,89473,54040,93071
Kentucky,KNOTT,.3444976,49,.3514852,43034,21525,43460
Kentucky,LARUE,.2807018,49,.2807018,61993,38338,63288
Kentucky,LAUREL,.3407534,49,.297714,56574,51390,56756
Kentucky,LESLIE,.2813456,49,.2920635,39649,96005,38735
Kentucky,LETCHER,.3343512,49,.3374613,47200,55404,47002
Kentucky,MCCRACKEN,.2116377,49,.2118765,69078,52664,71716
Kentucky,MCCREARY,.2411504,49,.2411504,39988,11125,40360
Kentucky,MAGOFFIN,.2349869,49,.2340426,43655,26300,43833
Kentucky,MENIFEE,.226601,49,.226601,47917,23584,48328
Kentucky,METCALFE,.3343949,49,.3343949,47093,21538,49110
Kentucky,MUHLENBERG,.2971246,49,.2971246,57437,41134,58396
Kentucky,OWEN,.2830189,49,.2901961,68307,44841,68629
Kentucky,OWSLEY,.2406015,49,.2362205,47219,49,47219
Kentucky,ROCKCASTLE,.2972399,49,.2972399,51627,29704,51874
Kentucky,SPENCER,.3270869,49,.3270869,91493,92366,91446
